
## PHerc Paris 4 hires-256 (ink/fiber-rich)  (256x256x256, 16.8 MB, atom=16^3, HF slope 0.50)

### target 16x  (q-knob proxy ~16)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
 0.60 | 0.500 | 15.93x | 32.67 | +0.39 |  0.9560 | 0.10288 |  0.9562 |  14.495 |   7.244
 0.65 | 0.300 | 15.95x | 32.79 | +0.51 |  0.9553 | 0.10120 |  0.9574 |  14.735 |   6.407
 0.65 | 0.375 | 15.95x | 32.89 | +0.61 |  0.9567 | 0.10082 |  0.9576 |  14.332 |   6.622
 0.65 | 0.400 | 15.95x | 32.89 | +0.61 |  0.9569 | 0.10094 |  0.9575 |  14.272 |   6.713
 0.65 | 0.450 | 15.95x | 32.87 | +0.59 |  0.9571 | 0.10120 |  0.9573 |  14.233 |   6.872
 0.65 | 0.500 | 15.95x | 32.77 | +0.50 |  0.9567 | 0.10195 |  0.9569 |  14.344 |   7.084
 0.70 | 0.300 | 15.97x | 32.83 | +0.55 |  0.9556 | 0.10098 |  0.9577 |  14.694 |   6.344
 0.70 | 0.375 | 15.97x | 32.93 | +0.65 |  0.9569 | 0.10053 |  0.9579 |  14.302 |   6.540
 0.70 | 0.400 | 15.97x | 32.94 | +0.66 |  0.9571 | 0.10062 |  0.9578 |  14.236 |   6.626
 0.70 | 0.450 | 15.97x | 32.92 | +0.64 |  0.9574 | 0.10084 |  0.9577 |  14.184 |   6.773
 0.70 | 0.500 | 15.97x | 32.84 | +0.56 |  0.9572 | 0.10142 |  0.9573 |  14.254 |   6.968
 0.80 | 0.300 | 15.97x | 32.89 | +0.61 |  0.9559 | 0.10070 |  0.9581 |  14.647 |   6.242
 0.80 | 0.375 | 15.97x | 32.98 | +0.70 |  0.9572 | 0.10022 |  0.9583 |  14.296 |   6.405
 0.80 | 0.400 | 15.97x | 32.99 | +0.71 |  0.9575 | 0.10023 |  0.9583 |  14.221 |   6.480
 0.80 | 0.450 | 15.97x | 32.98 | +0.71 |  0.9577 | 0.10037 |  0.9581 |  14.146 |   6.619
 0.80 | 0.500 | 15.97x | 32.94 | +0.66 |  0.9577 | 0.10071 |  0.9579 |  14.158 |   6.774

### target 32x  (q-knob proxy ~32)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
------+-------+--------+-------+-------+---------+---------+---------+---------+--------
 0.40 | 0.300 | 31.84x | 28.42 | +0.00 |  0.8856 | 0.14903 |  0.9230 |  23.147 |  11.135
 0.40 | 0.375 | 31.84x | 28.37 | +0.00 |  0.8879 | 0.14905 |  0.9228 |  22.980 |  11.917
